index,pdb,prot_chain,na_chain,expected_filename,found_path,exists,size,prot_chain_count,na_chain_count,note
12042,5MEI,CF,AT,5MEI_CF_AT.cif,datasets/PRI30k/PDBs/5MEI_CF_AT.cif,True,513836,2763,9759,orig
12043,5MEI,CG,AS,5MEI_CG_AS.cif,datasets/PRI30k/PDBs/5MEI_CG_AS.cif,True,415764,2650,2853,orig
12044,5MEI,CI,AS,5MEI_CI_AS.cif,datasets/PRI30k/PDBs/5MEI_CI_AS.cif,True,361208,1785,2813,orig
12045,5MEI,CJ,AT,5MEI_CJ_AT.cif,datasets/PRI30k/PDBs/5MEI_CJ_AT.cif,True,435198,1804,8800,orig
12046,5MEI,CL,AS,5MEI_CL_AS.cif,datasets/PRI30k/PDBs/5MEI_CL_AS.cif,True,355862,1719,2821,orig
12047,5MEI,CM,AS,5MEI_CM_AS.cif,datasets/PRI30k/PDBs/5MEI_CM_AS.cif,True,326783,1360,2813,orig
12048,5MEI,CN,AT,5MEI_CN_AT.cif,datasets/PRI30k/PDBs/5MEI_CN_AT.cif,True,413796,1543,8539,orig
12049,5MEI,CP,AT,5MEI_CP_AT.cif,datasets/PRI30k/PDBs/5MEI_CP_AT.cif,True,429048,1729,8725,orig
12050,5MEI,CR,AT,5MEI_CR_AT.cif,datasets/PRI30k/PDBs/5MEI_CR_AT.cif,True,404202,1426,8422,orig
12051,5MEI,CU,AS,5MEI_CU_AS.cif,datasets/PRI30k/PDBs/5MEI_CU_AS.cif,True,337946,1447,2749,orig
12052,5MEI,CV,AS,5MEI_CV_AS.cif,datasets/PRI30k/PDBs/5MEI_CV_AS.cif,True,320546,1283,2749,orig
12053,5MEI,CZ,AT,5MEI_CZ_AT.cif,datasets/PRI30k/PDBs/5MEI_CZ_AT.cif,True,366892,988,7967,orig
12054,5MEI,DA,AT,5MEI_DA_AT.cif,datasets/PRI30k/PDBs/5MEI_DA_AT.cif,True,368778,994,7990,orig
12055,5MEI,DJ,AT,5MEI_DJ_AT.cif,datasets/PRI30k/PDBs/5MEI_DJ_AT.cif,True,366728,969,7965,orig
12056,5MEI,DL,AT,5MEI_DL_AT.cif,datasets/PRI30k/PDBs/5MEI_DL_AT.cif,True,344342,696,7692,orig
12057,5MEI,DN,AT,5MEI_DN_AT.cif,datasets/PRI30k/PDBs/5MEI_DN_AT.cif,True,323022,436,7432,orig
12058,5MEI,l,4,5MEI_l_4.cif,datasets/PRI30k/PDBs/5MEI_l_4.cif,True,503849,2773,21252,orig
12059,5MEI,m,3,5MEI_m_3.cif,datasets/PRI30k/PDBs/5MEI_m_3.cif,True,402194,2400,17769,orig
12060,5MEI,o,3,5MEI_o_3.cif,datasets/PRI30k/PDBs/5MEI_o_3.cif,True,359588,1816,16724,orig
12061,5MEI,p,4,5MEI_p_4.cif,datasets/PRI30k/PDBs/5MEI_p_4.cif,True,426656,1811,19500,orig
12062,5MEI,r,3,5MEI_r_3.cif,datasets/PRI30k/PDBs/5MEI_r_3.cif,True,349234,1718,15573,orig
12063,5MEI,s,3,5MEI_s_3.cif,datasets/PRI30k/PDBs/5MEI_s_3.cif,True,320514,1379,14259,orig
12064,5MEI,t,4,5MEI_t_4.cif,datasets/PRI30k/PDBs/5MEI_t_4.cif,True,405677,1592,17802,orig
12065,5MEI,v,4,5MEI_v_4.cif,datasets/PRI30k/PDBs/5MEI_v_4.cif,True,420500,1729,18839,orig
12066,5MEI,x,4,5MEI_x_4.cif,datasets/PRI30k/PDBs/5MEI_x_4.cif,True,397091,1442,18012,orig
12067,7TM3,6,v,7TM3_6_v.cif,datasets/PRI30k/PDBs/7TM3_6_v.cif,True,729564,30640,5004,orig
12068,7TM3,C,v,7TM3_C_v.cif,datasets/PRI30k/PDBs/7TM3_C_v.cif,True,941188,13977,5004,orig
12069,7TM3,D,u,7TM3_D_u.cif,datasets/PRI30k/PDBs/7TM3_D_u.cif,True,737894,5464,3867,orig
12070,7TM3,F,u,7TM3_F_u.cif,datasets/PRI30k/PDBs/7TM3_F_u.cif,True,657569,3870,3867,orig
12071,7TM3,G,v,7TM3_G_v.cif,datasets/PRI30k/PDBs/7TM3_G_v.cif,True,757699,7143,5004,orig
12072,7TM3,h,v,7TM3_h_v.cif,datasets/PRI30k/PDBs/7TM3_h_v.cif,True,608014,2147,5004,orig
12073,7TM3,I,u,7TM3_I_u.cif,datasets/PRI30k/PDBs/7TM3_I_u.cif,True,615579,3759,3867,orig
12074,7TM3,J,u,7TM3_J_u.cif,datasets/PRI30k/PDBs/7TM3_J_u.cif,True,563304,2761,3867,orig
12075,7TM3,j,v,7TM3_j_v.cif,datasets/PRI30k/PDBs/7TM3_j_v.cif,True,548429,1444,5004,orig
12076,7TM3,L,v,7TM3_L_v.cif,datasets/PRI30k/PDBs/7TM3_L_v.cif,True,504484,407,5004,orig
12077,7TM3,l,v,7TM3_l_v.cif,datasets/PRI30k/PDBs/7TM3_L_v.cif,True,504484,943,5004,prot_chain_upper
12078,7TM3,N,v,7TM3_N_v.cif,datasets/PRI30k/PDBs/7TM3_N_v.cif,True,718089,5535,5004,orig
12079,7TM3,P,v,7TM3_P_v.cif,datasets/PRI30k/PDBs/7TM3_P_v.cif,True,639719,3419,5004,orig
12080,7TM3,S,u,7TM3_S_u.cif,datasets/PRI30k/PDBs/7TM3_S_u.cif,True,581069,3765,3867,orig
12081,7TM3,T,u,7TM3_T_u.cif,datasets/PRI30k/PDBs/7TM3_T_u.cif,True,555144,9559,3867,orig
12082,7TM3,X,v,7TM3_X_v.cif,datasets/PRI30k/PDBs/7TM3_X_v.cif,True,596284,2008,5004,orig
12083,7TM3,Y,v,7TM3_Y_v.cif,datasets/PRI30k/PDBs/7TM3_Y_v.cif,True,622889,2958,5004,orig
12084,8FON,RG,QV,8FON_RG_QV.cif,datasets/PRI30k/PDBs/8FON_RG_QV.cif,True,254331,1694,1585,orig
12085,8FON,RG,RB,8FON_RG_RB.cif,datasets/PRI30k/PDBs/8FON_RG_RB.cif,True,336916,1694,2580,orig
12086,8FON,RQ,RB,8FON_RQ_RB.cif,datasets/PRI30k/PDBs/8FON_RQ_RB.cif,True,307949,1125,2580,orig
12087,8FON,RZ,QV,8FON_RZ_QV.cif,datasets/PRI30k/PDBs/8FON_RZ_QV.cif,True,264872,1601,1585,orig
12088,8FON,RZ,RB,8FON_RZ_RB.cif,datasets/PRI30k/PDBs/8FON_RZ_RB.cif,True,347457,1601,2580,orig
12089,8FON,XM,XV,8FON_XM_XV.cif,datasets/PRI30k/PDBs/8FON_XM_XV.cif,True,210507,947,1584,orig
12090,8FON,Y0,YB,8FON_Y0_YB.cif,datasets/PRI30k/PDBs/8FON_Y0_YB.cif,True,261768,601,2586,orig
12091,8FON,Y3,YB,8FON_Y3_YB.cif,datasets/PRI30k/PDBs/8FON_Y3_YB.cif,True,253999,469,2586,orig
12092,8FON,Y4,YB,8FON_Y4_YB.cif,datasets/PRI30k/PDBs/8FON_Y4_YB.cif,True,262050,566,2586,orig
12093,8FON,YG,XV,8FON_YG_XV.cif,datasets/PRI30k/PDBs/8FON_YG_XV.cif,True,248132,1474,1584,orig
12094,8FON,YG,YB,8FON_YG_YB.cif,datasets/PRI30k/PDBs/8FON_YG_YB.cif,True,333354,1474,2586,orig
12095,8FON,YQ,YB,8FON_YQ_YB.cif,datasets/PRI30k/PDBs/8FON_YQ_YB.cif,True,308447,1125,2586,orig
12096,8FON,YS,YB,8FON_YS_YB.cif,datasets/PRI30k/PDBs/8FON_YS_YB.cif,True,284810,981,2586,orig
12097,8FON,YZ,XV,8FON_YZ_XV.cif,datasets/PRI30k/PDBs/8FON_YZ_XV.cif,True,261604,1601,1584,orig
12098,8FON,YZ,YB,8FON_YZ_YB.cif,datasets/PRI30k/PDBs/8FON_YZ_YB.cif,True,347955,1601,2586,orig
12099,7OF6,6,B,7OF6_6_B.cif,datasets/PRI30k/PDBs/7OF6_6_B.cif,True,309640,14489,2696,orig
12100,7OF6,8,B,7OF6_8_B.cif,datasets/PRI30k/PDBs/7OF6_8_B.cif,True,144110,4686,2462,orig
12101,7OF6,f,B,7OF6_f_B.cif,datasets/PRI30k/PDBs/7OF6_f_B.cif,True,160409,834,2129,orig
12102,7OF6,P,B,7OF6_P_B.cif,datasets/PRI30k/PDBs/7OF6_P_B.cif,True,185215,1525,2478,orig
12103,7DOK,G,P,7DOK_G_P.cif,datasets/PRI30k/PDBs/7DOK_G_P.cif,True,148772,1878,755,orig
12104,7DOK,G,T,7DOK_G_T.cif,datasets/PRI30k/PDBs/7DOK_G_T.cif,True,145436,1783,2621,orig
12105,7JZW,A,M,7JZW_A_M.cif,datasets/PRI30k/PDBs/7JZW_A_M.cif,True,349456,12604,5707,orig
12106,7JZW,B,M,7JZW_B_M.cif,datasets/PRI30k/PDBs/7JZW_B_M.cif,True,291470,3970,4973,orig
12107,7JZW,C,M,7JZW_C_M.cif,datasets/PRI30k/PDBs/7JZW_C_M.cif,True,215393,4763,4018,orig
12108,7JZW,D,M,7JZW_D_M.cif,datasets/PRI30k/PDBs/7JZW_D_M.cif,True,283254,2579,4861,orig
12109,7JZW,E,M,7JZW_E_M.cif,datasets/PRI30k/PDBs/7JZW_E_M.cif,True,305769,3397,5146,orig
12110,7JZW,F,M,7JZW_F_M.cif,datasets/PRI30k/PDBs/7JZW_F_M.cif,True,305769,2592,5146,orig
12111,7JZW,G,M,7JZW_G_M.cif,datasets/PRI30k/PDBs/7JZW_G_M.cif,True,305769,3947,5146,orig
12112,7JZW,H,M,7JZW_H_M.cif,datasets/PRI30k/PDBs/7JZW_H_M.cif,True,302767,2884,5108,orig
12113,7JZW,I,M,7JZW_I_M.cif,datasets/PRI30k/PDBs/7JZW_I_M.cif,True,305769,2762,5146,orig
12114,4V7M,AG,AY,4V7M_AG_AY.cif,datasets/PRI30k/PDBs/4V7M_AG_AY.cif,True,234052,1258,1591,orig
12115,4V7M,AM,AX,4V7M_AM_AX.cif,datasets/PRI30k/PDBs/4V7M_AM_AX.cif,True,217313,965,1648,orig
12116,4V7M,B0,AX,4V7M_B0_AX.cif,datasets/PRI30k/PDBs/4V7M_B0_AX.cif,True,187787,665,1648,orig
12117,4V7M,B0,BB,4V7M_B0_BB.cif,datasets/PRI30k/PDBs/4V7M_B0_BB.cif,True,264556,665,2556,orig
12118,4V7M,B3,BB,4V7M_B3_BB.cif,datasets/PRI30k/PDBs/4V7M_B3_BB.cif,True,251426,468,2556,orig
12119,4V7M,BG,AX,4V7M_BG_AX.cif,datasets/PRI30k/PDBs/4V7M_BG_AX.cif,True,256520,1475,1648,orig
12120,4V7M,BG,BB,4V7M_BG_BB.cif,datasets/PRI30k/PDBs/4V7M_BG_BB.cif,True,330976,1475,2556,orig
12121,4V7M,BQ,BB,4V7M_BQ_BB.cif,datasets/PRI30k/PDBs/4V7M_BQ_BB.cif,True,304463,1107,2556,orig
12122,4V7M,BS,BB,4V7M_BS_BB.cif,datasets/PRI30k/PDBs/4V7M_BS_BB.cif,True,273248,771,2556,orig
12123,4V7M,BZ,BB,4V7M_BZ_BB.cif,datasets/PRI30k/PDBs/4V7M_BZ_BB.cif,True,329114,1404,2556,orig
12124,4V7M,CG,CY,4V7M_CG_CY.cif,datasets/PRI30k/PDBs/4V7M_CG_CY.cif,True,227634,1391,1597,orig
12125,4V7M,D0,CX,4V7M_D0_CX.cif,datasets/PRI30k/PDBs/4V7M_D0_CX.cif,True,189280,663,1640,orig
12126,4V7M,D0,DB,4V7M_D0_DB.cif,datasets/PRI30k/PDBs/4V7M_D0_DB.cif,True,267445,663,2557,orig
12127,4V7M,D3,DB,4V7M_D3_DB.cif,datasets/PRI30k/PDBs/4V7M_D3_DB.cif,True,251260,468,2557,orig
12128,4V7M,DG,CX,4V7M_DG_CX.cif,datasets/PRI30k/PDBs/4V7M_DG_CX.cif,True,249554,1474,1640,orig
12129,4V7M,DG,DB,4V7M_DG_DB.cif,datasets/PRI30k/PDBs/4V7M_DG_DB.cif,True,334758,1474,2557,orig
12130,4V7M,DQ,CW,4V7M_DQ_CW.cif,datasets/PRI30k/PDBs/4V7M_DQ_CW.cif,True,222127,1094,1577,orig
12131,4V7M,DQ,CX,4V7M_DQ_CX.cif,datasets/PRI30k/PDBs/4V7M_DQ_CX.cif,True,219154,1094,1640,orig
12132,4V7M,DS,DB,4V7M_DS_DB.cif,datasets/PRI30k/PDBs/4V7M_DS_DB.cif,True,276409,771,2557,orig
12133,4V7M,DZ,DB,4V7M_DZ_DB.cif,datasets/PRI30k/PDBs/4V7M_DZ_DB.cif,True,328948,1404,2557,orig
12134,7LS1,A1,B2,7LS1_A1_B2.cif,datasets/PRI30k/PDBs/7LS1_A1_B2.cif,True,361972,1851,2558,orig
12135,7LS1,B1,C2,7LS1_B1_C2.cif,datasets/PRI30k/PDBs/7LS1_B1_C2.cif,True,441350,1934,3627,orig
12136,7LS1,b2,C2,7LS1_b2_C2.cif,datasets/PRI30k/PDBs/7LS1_b2_C2.cif,True,362978,1001,3627,orig
12137,7LS1,D1,B2,7LS1_D1_B2.cif,datasets/PRI30k/PDBs/7LS1_D1_B2.cif,True,348770,1758,2558,orig
12138,7LS1,d2,C2,7LS1_d2_C2.cif,datasets/PRI30k/PDBs/7LS1_d2_C2.cif,True,342219,706,3627,orig
12139,7LS1,E1,B2,7LS1_E1_B2.cif,datasets/PRI30k/PDBs/7LS1_E1_B2.cif,True,324744,1436,2558,orig
12140,7LS1,F1,C2,7LS1_F1_C2.cif,datasets/PRI30k/PDBs/7LS1_F1_C2.cif,True,419678,1676,3627,orig
12141,7LS1,F2,C2,7LS1_F2_C2.cif,datasets/PRI30k/PDBs/7LS1_F2_C2.cif,True,316190,0,3627,orig;low_chain_count
12142,7LS1,f2,C2,7LS1_f2_C2.cif,datasets/PRI30k/PDBs/7LS1_F2_C2.cif,True,316190,444,3627,upper_all
12143,7LS1,G2,B2,7LS1_G2_B2.cif,datasets/PRI30k/PDBs/7LS1_G2_B2.cif,True,405760,2430,2558,orig
12144,7LS1,H1,C2,7LS1_H1_C2.cif,datasets/PRI30k/PDBs/7LS1_H1_C2.cif,True,421778,1734,3627,orig
12145,7LS1,i2,n2,7LS1_i2_n2.cif,datasets/PRI30k/PDBs/7LS1_i2_n2.cif,True,208429,843,1604,orig
12146,7LS1,J2,C2,7LS1_J2_C2.cif,datasets/PRI30k/PDBs/7LS1_J2_C2.cif,True,383222,1242,3627,orig
12147,7LS1,L1,n2,7LS1_L1_n2.cif,datasets/PRI30k/PDBs/7LS1_L1_n2.cif,True,268082,1660,1604,orig
12148,7LS1,M2,B2,7LS1_M2_B2.cif,datasets/PRI30k/PDBs/7LS1_M2_B2.cif,True,329090,1450,2558,orig
12149,7LS1,N2,B2,7LS1_N2_B2.cif,datasets/PRI30k/PDBs/7LS1_N2_B2.cif,True,316626,1337,2558,orig
12150,7LS1,R2,C2,7LS1_R2_C2.cif,datasets/PRI30k/PDBs/7LS1_R2_C2.cif,True,360122,967,3627,orig
12151,7LS1,S2,C2,7LS1_S2_C2.cif,datasets/PRI30k/PDBs/7LS1_S2_C2.cif,True,372554,1115,3627,orig
12152,6EM3,h,2,6EM3_h_2.cif,datasets/PRI30k/PDBs/6EM3_h_2.cif,True,184514,478,13985,orig
12153,6EM3,j,2,6EM3_j_2.cif,datasets/PRI30k/PDBs/6EM3_j_2.cif,True,169538,284,13090,orig
12154,6EM3,K,6,6EM3_K_6.cif,datasets/PRI30k/PDBs/6EM3_K_6.cif,True,138026,984,5341,orig
12155,6EM3,o,6,6EM3_o_6.cif,datasets/PRI30k/PDBs/6EM3_o_6.cif,True,97466,493,3702,orig
12156,6EM3,t,6,6EM3_t_6.cif,datasets/PRI30k/PDBs/6EM3_t_6.cif,True,138650,1039,5030,orig
12157,6EM3,v,2,6EM3_v_2.cif,datasets/PRI30k/PDBs/6EM3_v_2.cif,True,187946,521,14076,orig
12158,5YKI,A,C,5YKI_A_C.cif,datasets/PRI30k/PDBs/5YKI_A_C.cif,True,276034,11259,4511,orig
12159,6MTC,C,8,6MTC_C_8.cif,datasets/PRI30k/PDBs/6MTC_C_8.cif,True,494453,13181,18612,orig
12160,6MTC,D,7,6MTC_D_7.cif,datasets/PRI30k/PDBs/6MTC_D_7.cif,True,396914,2677,14407,orig
12161,6MTC,F,7,6MTC_F_7.cif,datasets/PRI30k/PDBs/6MTC_F_7.cif,True,355634,1875,12447,orig
12162,6MTC,G,8,6MTC_G_8.cif,datasets/PRI30k/PDBs/6MTC_G_8.cif,True,413048,3683,14719,orig
12163,6MTC,h,8,6MTC_h_8.cif,datasets/PRI30k/PDBs/6MTC_h_8.cif,True,342902,1015,12742,orig
12164,6MTC,I,7,6MTC_I_7.cif,datasets/PRI30k/PDBs/6MTC_I_7.cif,True,338754,1848,11826,orig
12165,6MTC,J,7,6MTC_J_7.cif,datasets/PRI30k/PDBs/6MTC_J_7.cif,True,314594,1362,11185,orig
12166,6MTC,j,8,6MTC_j_8.cif,datasets/PRI30k/PDBs/6MTC_j_8.cif,True,318035,706,11892,orig
12167,6MTC,L,8,6MTC_L_8.cif,datasets/PRI30k/PDBs/6MTC_L_8.cif,True,297056,178,11317,orig
12168,6MTC,l,8,6MTC_l_8.cif,datasets/PRI30k/PDBs/6MTC_L_8.cif,True,297056,463,11317,upper_all
12169,6MTC,N,8,6MTC_N_8.cif,datasets/PRI30k/PDBs/6MTC_N_8.cif,True,398630,3660,14535,orig
12170,6MTC,o,4,6MTC_o_4.cif,datasets/PRI30k/PDBs/6MTC_o_4.cif,True,197750,872,8436,orig
12171,6MTC,P,8,6MTC_P_8.cif,datasets/PRI30k/PDBs/6MTC_P_8.cif,True,361532,2002,13178,orig
12172,6MTC,S,7,6MTC_S_7.cif,datasets/PRI30k/PDBs/6MTC_S_7.cif,True,322594,1867,11881,orig
12173,6MTC,T,7,6MTC_T_7.cif,datasets/PRI30k/PDBs/6MTC_T_7.cif,True,309474,5358,11452,orig
12174,6MTC,u,4,6MTC_u_4.cif,datasets/PRI30k/PDBs/6MTC_u_4.cif,True,253700,1660,10415,orig
12175,6MTC,X,8,6MTC_X_8.cif,datasets/PRI30k/PDBs/6MTC_X_8.cif,True,339176,968,12633,orig
12176,6MTC,Y,8,6MTC_Y_8.cif,datasets/PRI30k/PDBs/6MTC_Y_8.cif,True,351164,1401,12836,orig
12177,6MTC,ZZ,4,6MTC_ZZ_4.cif,datasets/PRI30k/PDBs/6MTC_ZZ_4.cif,True,171332,598,7859,orig
12178,8HKV,AL5P,A5S,8HKV_AL5P_A5S.cif,datasets/PRI30k/PDBs/8HKV_AL5P_A5S.cif,True,332402,1343,2609,orig
12179,8HKV,ALX0,A5S,8HKV_ALX0_A5S.cif,datasets/PRI30k/PDBs/8HKV_ALX0_A5S.cif,True,272426,629,2609,orig
12180,8HKV,L10E,A5S,8HKV_L10E_A5S.cif,datasets/PRI30k/PDBs/8HKV_L10E_A5S.cif,True,329630,1310,2609,orig
12181,8HKV,L18P,A5S,8HKV_L18P_A5S.cif,datasets/PRI30k/PDBs/8HKV_L18P_A5S.cif,True,348866,1539,2609,orig
12182,8HKV,L21E,A5S,8HKV_L21E_A5S.cif,datasets/PRI30k/PDBs/8HKV_L21E_A5S.cif,True,285530,785,2609,orig
12183,5M0J,A,F,5M0J_A_F.cif,datasets/PRI30k/PDBs/5M0J_A_F.cif,True,199775,7124,616,orig
12184,5M0J,B,E,5M0J_B_E.cif,datasets/PRI30k/PDBs/5M0J_B_E.cif,True,209495,2222,1558,orig
12185,5M0J,C,E,5M0J_C_E.cif,datasets/PRI30k/PDBs/5M0J_C_E.cif,True,211439,5182,1559,orig
12186,5M0J,C,F,5M0J_C_F.cif,datasets/PRI30k/PDBs/5M0J_C_F.cif,True,211520,5182,616,orig
12187,5M0J,D,E,5M0J_D_E.cif,datasets/PRI30k/PDBs/5M0J_D_E.cif,True,208523,2811,1544,orig
12188,8G5Y,5A,Pt,8G5Y_5A_Pt.cif,datasets/PRI30k/PDBs/8G5Y_5A_Pt.cif,True,221807,1075,1658,orig
12189,8G5Y,LC,L8,8G5Y_LC_L8.cif,datasets/PRI30k/PDBs/8G5Y_LC_L8.cif,True,508709,2937,3338,orig
12190,8G5Y,LD,L7,8G5Y_LD_L7.cif,datasets/PRI30k/PDBs/8G5Y_LD_L7.cif,True,402599,2393,2572,orig
12191,8G5Y,LF,L7,8G5Y_LF_L7.cif,datasets/PRI30k/PDBs/8G5Y_LF_L7.cif,True,360479,1873,2572,orig
12192,8G5Y,LG,L8,8G5Y_LG_L8.cif,datasets/PRI30k/PDBs/8G5Y_LG_L8.cif,True,426818,1926,3338,orig
12193,8G5Y,Lh,L8,8G5Y_Lh_L8.cif,datasets/PRI30k/PDBs/8G5Y_Lh_L8.cif,True,352946,1014,3338,orig
12194,8G5Y,LI,L7,8G5Y_LI_L7.cif,datasets/PRI30k/PDBs/8G5Y_LI_L7.cif,True,342254,1648,2572,orig
12195,8G5Y,Lj,L8,8G5Y_Lj_L8.cif,datasets/PRI30k/PDBs/8G5Y_Lj_L8.cif,True,329132,720,3338,orig
12196,8G5Y,LJ,L7,8G5Y_LJ_L7.cif,datasets/PRI30k/PDBs/8G5Y_LJ_L7.cif,True,319088,1362,2572,orig
12197,8G5Y,LJ,Pt,8G5Y_LJ_Pt.cif,datasets/PRI30k/PDBs/8G5Y_LJ_Pt.cif,True,245054,1362,1658,orig
12198,8G5Y,LL,L8,8G5Y_LL_L8.cif,datasets/PRI30k/PDBs/8G5Y_LL_L8.cif,True,306695,0,3338,orig;low_chain_count
12199,8G5Y,Ll,L8,8G5Y_Ll_L8.cif,datasets/PRI30k/PDBs/8G5Y_LL_L8.cif,True,306695,443,3338,upper_all
12200,8G5Y,LN,L8,8G5Y_LN_L8.cif,datasets/PRI30k/PDBs/8G5Y_LN_L8.cif,True,408917,1786,3338,orig
12201,8G5Y,Lo,Pt,8G5Y_Lo_Pt.cif,datasets/PRI30k/PDBs/8G5Y_Lo_Pt.cif,True,206093,881,1658,orig
12202,8G5Y,LP,L8,8G5Y_LP_L8.cif,datasets/PRI30k/PDBs/8G5Y_LP_L8.cif,True,372305,1253,3338,orig
12203,8G5Y,LS,L7,8G5Y_LS_L7.cif,datasets/PRI30k/PDBs/8G5Y_LS_L7.cif,True,327188,1462,2572,orig
12204,8G5Y,LT,L7,8G5Y_LT_L7.cif,datasets/PRI30k/PDBs/8G5Y_LT_L7.cif,True,315038,1312,2572,orig
12205,8G5Y,LX,L8,8G5Y_LX_L8.cif,datasets/PRI30k/PDBs/8G5Y_LX_L8.cif,True,349220,968,3338,orig
12206,8G5Y,LY,L8,8G5Y_LY_L8.cif,datasets/PRI30k/PDBs/8G5Y_LY_L8.cif,True,361127,1341,3338,orig
12207,8G5Y,SF,mR,8G5Y_SF_mR.cif,datasets/PRI30k/PDBs/8G5Y_SF_mR.cif,True,133794,1495,172,orig
12208,8G5Y,SP,Pt,8G5Y_SP_Pt.cif,datasets/PRI30k/PDBs/8G5Y_SP_Pt.cif,True,222050,1110,1658,orig
12209,8G5Y,SS,Pt,8G5Y_SS_Pt.cif,datasets/PRI30k/PDBs/8G5Y_SS_Pt.cif,True,233147,1215,1658,orig
12210,8G5Y,SZ,Pt,8G5Y_SZ_Pt.cif,datasets/PRI30k/PDBs/8G5Y_SZ_Pt.cif,True,186994,674,1658,orig
12211,1VY4,AG,AY,1VY4_AG_AY.cif,datasets/PRI30k/PDBs/1VY4_AG_AY.cif,True,234162,1231,1585,orig
12212,1VY4,AI,AX,1VY4_AI_AX.cif,datasets/PRI30k/PDBs/1VY4_AI_AX.cif,True,219637,986,1655,orig
12213,1VY4,AM,AX,1VY4_AM_AX.cif,datasets/PRI30k/PDBs/1VY4_AM_AX.cif,True,218309,970,1655,orig
12214,1VY4,B0,BB,1VY4_B0_BB.cif,datasets/PRI30k/PDBs/1VY4_B0_BB.cif,True,273836,661,2633,orig
12215,1VY4,B1,AY,1VY4_B1_AY.cif,datasets/PRI30k/PDBs/1VY4_B1_AY.cif,True,192478,757,1585,orig
12216,1VY4,B3,BB,1VY4_B3_BB.cif,datasets/PRI30k/PDBs/1VY4_B3_BB.cif,True,261170,471,2633,orig
12217,1VY4,B4,BB,1VY4_B4_BB.cif,datasets/PRI30k/PDBs/1VY4_B4_BB.cif,True,265453,560,2633,orig
12218,1VY4,BG,AX,1VY4_BG_AX.cif,datasets/PRI30k/PDBs/1VY4_BG_AX.cif,True,256489,1430,1655,orig
12219,1VY4,BG,BB,1VY4_BG_BB.cif,datasets/PRI30k/PDBs/1VY4_BG_BB.cif,True,337663,1430,2633,orig
12220,1VY4,BQ,AW,1VY4_BQ_AW.cif,datasets/PRI30k/PDBs/1VY4_BQ_AW.cif,True,227273,1128,1605,orig
12221,1VY4,BQ,BB,1VY4_BQ_BB.cif,datasets/PRI30k/PDBs/1VY4_BQ_BB.cif,True,312597,1128,2633,orig
12222,1VY4,BS,BB,1VY4_BS_BB.cif,datasets/PRI30k/PDBs/1VY4_BS_BB.cif,True,291930,879,2633,orig
12223,1VY4,BZ,BB,1VY4_BZ_BB.cif,datasets/PRI30k/PDBs/1VY4_BZ_BB.cif,True,331189,1352,2633,orig
12224,1VY4,CG,CY,1VY4_CG_CY.cif,datasets/PRI30k/PDBs/1VY4_CG_CY.cif,True,232585,1373,1568,orig
12225,1VY4,CI,CX,1VY4_CI_CX.cif,datasets/PRI30k/PDBs/1VY4_CI_CX.cif,True,222879,978,1639,orig
12226,1VY4,CM,CW,1VY4_CM_CW.cif,datasets/PRI30k/PDBs/1VY4_CM_CW.cif,True,213359,951,1555,orig
12227,1VY4,CM,CX,1VY4_CM_CX.cif,datasets/PRI30k/PDBs/1VY4_CM_CX.cif,True,220499,951,1639,orig
12228,1VY4,D0,DB,1VY4_D0_DB.cif,datasets/PRI30k/PDBs/1VY4_D0_DB.cif,True,276939,658,2598,orig
12229,1VY4,D1,CY,1VY4_D1_CY.cif,datasets/PRI30k/PDBs/1VY4_D1_CY.cif,True,190510,778,1568,orig
12230,1VY4,D3,DB,1VY4_D3_DB.cif,datasets/PRI30k/PDBs/1VY4_D3_DB.cif,True,260704,467,2598,orig
12231,1VY4,D4,DB,1VY4_D4_DB.cif,datasets/PRI30k/PDBs/1VY4_D4_DB.cif,True,266314,533,2598,orig
12232,1VY4,DG,CX,1VY4_DG_CX.cif,datasets/PRI30k/PDBs/1VY4_DG_CX.cif,True,260874,1425,1639,orig
12233,1VY4,DG,DB,1VY4_DG_DB.cif,datasets/PRI30k/PDBs/1VY4_DG_DB.cif,True,342134,1425,2598,orig
12234,1VY4,DQ,CW,1VY4_DQ_CW.cif,datasets/PRI30k/PDBs/1VY4_DQ_CW.cif,True,228319,1126,1555,orig
12235,1VY4,DQ,DB,1VY4_DQ_DB.cif,datasets/PRI30k/PDBs/1VY4_DQ_DB.cif,True,316719,1126,2598,orig
12236,1VY4,DS,DB,1VY4_DS_DB.cif,datasets/PRI30k/PDBs/1VY4_DS_DB.cif,True,294959,870,2598,orig
12237,1VY4,DZ,DB,1VY4_DZ_DB.cif,datasets/PRI30k/PDBs/1VY4_DZ_DB.cif,True,336609,1360,2598,orig
12238,6ZMO,CD,CB,6ZMO_CD_CB.cif,datasets/PRI30k/PDBs/6ZMO_CD_CB.cif,True,413525,3642,2257,orig
12239,6ZMO,CE,CB,6ZMO_CE_CB.cif,datasets/PRI30k/PDBs/6ZMO_CE_CB.cif,True,192392,633,1929,orig
12240,6ZMO,LC,L8,6ZMO_LC_L8.cif,datasets/PRI30k/PDBs/6ZMO_LC_L8.cif,True,512524,2927,3318,orig
12241,6ZMO,LD,L7,6ZMO_LD_L7.cif,datasets/PRI30k/PDBs/6ZMO_LD_L7.cif,True,406006,2382,2564,orig
